ScientificName,NuContAvailable,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,AvDryMatter%
Trifolium hybridum,"N,P,K",Forage,ton,2000,77.2,2.8876,0.285681818,2.7,"2,000",22,22.5,22.5,22.8
Trifolium hybridum,"N,P,K",Forage,ton,2000,75.87,2.496063492,0.260777509,2.582372881,"2,000",23.6,23.6,,24.13
Trifolium hybridum,"N,P,K",Forage,ton,2000,76.4,2.512,0.25,2.58,"2,000",,23.6,,23.6
Trifolium hybridum,"N,P,K",Forage,ton,2000,12.56,2.266845444,0.254679415,2.48116423,"2,000",88.9,87.4,87.9,87.44
Trifolium hybridum,N,Forage,ton,2000,17.85,2.632,#DIV/0!,#DIV/0!,"2,000",,82.2,82.1,82.15
Trifolium hybridum,"N,P,K",Forage,ton,2000,10.35,2.362247191,0.280898876,2.550561798,"2,000",89,90.3,,89.65
Trifolium hybridum,"N,P,K",Forage,ton,2000,11,2.416,0.28,2.55,"2,000",,89,89,89
Trifolium incarnatum,"N,P,K",Forage,ton,2000,80.78,2.737579888,0.275356081,3.100862069,"2,000",17.4,17.6,18.2,19.22
Trifolium incarnatum,N,Forage,ton,2000,84.1,2.816,#DIV/0!,#DIV/0!,"2,000",,15.9,,15.9
Trifolium incarnatum,"N,P,K",Forage,ton,2000,11.75,2.654096389,0.224392347,2.759329609,"2,000",89.5,88.8,87.8,88.25
Trifolium incarnatum,N,Forage,ton,2000,15.1,3.776,#DIV/0!,#DIV/0!,"2,000",,84.9,,84.9
Trifolium incarnatum,N,Forage,ton,2000,13.9,2.624,#DIV/0!,#DIV/0!,"2,000",,86.1,,86.1
"Trifolium pratense, Poaceae","N,P,K",Forage,ton,2000,11.6,2.272,0.23,1.42,"2,000",,88.1,88.7,88.4
"Trifolium pratense, Poaceae",N,Forage,ton,2000,11.3,2.528,#DIV/0!,#DIV/0!,"2,000",,88.7,88.7,88.7
"Trifolium pratense, Poaceae","N,P",Forage,ton,2000,8.6,1.776,0.25,#DIV/0!,"2,000",,91.4,91.4,91.4
"Trifolium pratense, Poaceae","N,P,K",Forage,ton,2000,10.8,2.656,0.23,1.59,"2,000",,89.2,89.2,89.2
"Trifolium partense, Phleum pratense","P,K",Forage,ton,2000,9.6,#DIV/0!,0.17,1.52,"2,000",,90.4,,90.4
Trifolium pratense,"N,P,K",Forage,ton,2000,77.5,2.921061225,0.29372449,2.401632653,"2,000",24.5,22.7,22.8,22.5
Trifolium pratense,"N,P,K",Forage,ton,2000,80.15,3.104,0.38,2.49,"2,000",,19.7,,19.85
Trifolium pratense,"N,P,K",Forage,ton,2000,73.58,2.374716484,0.284917582,1.964505495,"2,000",27.3,27.6,26.2,26.42
Trifolium pratense,N,Forage,ton,2000,75,3.4,#DIV/0!,#DIV/0!,"2,000",,,,25
Trifolium pratense,"N,P,K",Forage,ton,2000,74.27,2.424986301,0.284863014,1.98,"2,000",,23.5,24.5,25.73
Trifolium pratense,"N,P,K",Forage,ton,2000,13.95,2.507601359,0.261625142,1.887157418,"2,000",88.3,78,89.9,86.05
Trifolium pratense,"N,P,K",Forage,ton,2000,12.53,2.394049187,0.309455165,1.909551646,"2,000",88.1,86.4,87.9,87.47
